graph_id,src,dst
8322,322,19
8328,2442,24
8329,192,8
8330,193,79
8334,1927,71
8335,1928,54
8338,37,4
8338,37,4
8339,37,4
8339,37,4
8340,37,4
8340,37,4
8341,37,4
8341,2723,28
8341,37,4
8341,2723,28
8342,37,4
8342,37,4
8343,37,4
8343,37,4
8343,1927,71
8344,37,4
8344,1927,71
8344,37,4
8344,1927,71
8345,37,4
8345,1927,71
8345,37,4
8345,1927,71
8346,37,4
8346,1927,71
8346,37,4
8346,1927,71
8347,37,4
8347,1927,71
8347,37,4
8347,1927,71
8348,37,4
8348,1927,71
8348,424,83
8348,37,4
8348,1927,71
8348,424,83
8349,37,4
8349,1927,71
8349,37,4
8349,1927,71
8349,1928,54
8350,37,4
8350,1927,71
8350,37,4
8350,1927,71
8351,3191,62
8352,3,42
8356,1927,71
8356,1927,71
8357,1927,71
8357,1927,71
8358,1927,71
8358,1927,71
8359,1927,71
8359,424,83
8359,1927,71
8359,424,83
8360,1927,71
8360,1927,71
8361,1927,71
8361,1927,71
8361,1928,54
8362,193,79
8363,192,8
8366,192,8
8368,1928,54
8369,1927,71
8374,1927,71
8374,1927,71
8375,1927,71
8375,1927,71
8376,1927,71
8376,1927,71
8377,1927,71
8377,424,83
8377,1927,71
8377,424,83
8378,1927,71
8378,1927,71
8379,1927,71
8379,1927,71
8379,1928,54
8380,1927,71
8380,1927,71
8380,1927,71
8381,1928,54
8383,3191,62
8384,3,42
8388,1927,71
8388,1927,71
8389,1927,71
8389,1927,71
8390,1927,71
8390,1927,71
8391,1927,71
8391,424,83
8391,1927,71
8391,424,83
8392,1927,71
8392,1927,71
8393,1927,71
8393,1927,71
8393,1928,54
8394,1927,71
8394,1927,71
8394,1927,71
8398,1927,71
8398,1927,71
8399,1927,71
8399,1927,71
8400,1927,71
8400,1927,71
8401,1927,71
8401,424,83
8401,1927,71
8401,424,83
8402,3191,62
8403,3,42
8404,193,79
8405,192,8
8406,3191,62
8407,3,42
8408,3191,62
8409,3,42
8410,3191,62
8411,3,42
8412,193,79
8413,192,8
8416,160,76
8420,37,4
8420,37,4
8421,37,4
8421,37,4
8422,37,4
8422,37,4
8423,37,4
8423,37,4
8424,37,4
8424,1927,71
8424,37,4
8424,1927,71
8425,37,4
8425,1927,71
8425,37,4
8425,1927,71
8426,37,4
8426,1927,71
8426,37,4
8426,1927,71
8427,37,4
8427,1927,71
8427,424,83
8427,37,4
8427,1927,71
8427,424,83
8428,37,4
8428,1927,71
8428,37,4
8428,1927,71
8428,1928,54
8429,37,4
8429,1927,71
8429,37,4
8429,1927,71
8429,1927,71
8430,37,4
8430,1927,71
8430,37,4
8430,1927,71
8431,37,4
8431,37,4
8432,37,4
8432,37,4
8433,37,4
8433,37,4
8433,1927,71
8434,37,4
8434,1927,71
8434,37,4
8434,1927,71
8435,37,4
8435,1927,71
8435,37,4
8435,1927,71
8436,37,4
8436,1927,71
8436,37,4
8436,1927,71
8437,37,4
8437,1927,71
8437,37,4
8437,1927,71
8438,37,4
8438,1927,71
8438,424,83
8438,37,4
8438,1927,71
8438,424,83
8439,37,4
8439,1927,71
8439,37,4
8439,1927,71
8439,1928,54
8440,37,4
8440,1927,71
8440,37,4
8440,1927,71
8440,1927,71
8441,37,4
8441,1927,71
8441,37,4
8441,1927,71
8442,37,4
8442,2723,28
8442,37,4
8442,2723,28
8443,37,4
8443,37,4
8447,193,79
8449,193,79
8449,193,79
8450,193,79
8450,193,79
8454,2723,28
8454,2723,28
8456,1883,82
8456,1927,71
8456,1883,82
8456,1927,71
8457,1883,82
8457,1927,71
8457,1883,82
8457,1927,71
8458,1883,82
8458,1927,71
8458,1883,82
8458,1927,71
8459,1883,82
8459,1927,71
8459,1883,82
8459,1927,71
8459,1928,54
8460,1883,82
8460,1927,71
8460,1883,82
8460,1927,71
8460,476,30
8461,1883,82
8461,1927,71
8461,1883,82
8461,1927,71
8468,1927,71
8468,1927,71
8469,1927,71
8469,1927,71
8470,1927,71
8470,1927,71
8471,1927,71
8471,424,83
8471,1927,71
8471,424,83
8472,1927,71
8472,1927,71
8473,1927,71
8473,1927,71
8473,1928,54
8474,1927,71
8474,1927,71
8474,1927,71
8477,1927,71
8477,1927,71
8478,1927,71
8478,1927,71
8479,1927,71
8479,1927,71
8480,1927,71
8480,424,83
8480,1927,71
8480,424,83
8481,1927,71
8481,1927,71
8482,1927,71
8482,1927,71
8482,1928,54
8483,1927,71
8483,1927,71
8483,1927,71
