id,content
0,"Alexa, turn on bedtime"
1,"Alexa, turn on kitchen cooking"
2,"Alexa, set the upstairs temperature to 72 degrees"
3,"Alexa, turn on office lamps."
4,"Alexa, discover devices"
5,"Alexa, turn on my livingroom light"
6,"Alexa, turn off my livingroom light"
7,"Alexa, dim my livingroom light"
8,"Alexa, brighten my livingroom light"
9,"Alexa, set the livingroom light to 20 percent"
10,"Alexa, set bedroom light to green."
11,"Alexa, show the room camera"
12,"Alexa, show the backyard camera"
13,"Alexa, discover devices"
14,"Alexa, turn on the Kitchen Room light "
15,"Alexa, turn off the Christmas tree lights."
16,"Alexa, set the kitchen light to 20%."
17,"Alexa, increase bathroom by 30%."
18,"Alexa, dim children room."
19,"Alexa, Change White Color"
20,"Alexa, set the bedroom light to soft white."
21,"Alexa, make reading room cooler."
22,"Alexa, turn on Relax in the Bedroom"
23,"Alexa, discover devices"
24,"Alexa, turn on Bedroom"
25,"Alexa, brighten Kitchen to 60%"
26,"Alexa, turn on my Bedroom lights"
27,"Alexa, turn off the Kitchen lights"
28,"Alexa, brighten Dining Room to 60%"
29,"Alexa, set the bedroom light to orange"
30,"Alexa, set the kitchen light to cool white"
31,"Alexa, make the living room warmer"
32,"Alexa, turn on the kids room camera"
33,"Alexa, turn off the backyard camera"
34,"Alexa, turn on living room"
35,"Alexa, discover devices"
36,"Alexa, set the kitchen to Heat/Cool"
37,"Alexa, turn on fan on kitchen"
38,"Alexa, is the kitchen fan off"
39,"Alexa, show the feed from the front door camera"
40,"Alexa, hide the kids  room camera"
41,"Alexa, show the room camera"
42,"Alexa, show the backyard camera"
43,"Alexa, set the living room lamp to 20 percent"
44,"Alexa, set the hallway lights to cool white"
45,"Alexa, brighten the bedroom lights"
46,"Alexa, dim the living room"
47,"Alexa, set the kitchen light to 50"
48,"Alexa, change the bathroom light to blue"
49,"Alexa, turn off the light"
50,"Alexa, discover devices"
51,"Alexa, turn off my bedroom lights"
52,"Alexa, brighten living room lights to 75%"
53,"Alexa, dim the living room lights"
54,"Alexa, set the kitchen lights to cool white"
55,"Alexa, set bedroom to warm white"
56,"Alexa, turn on bedroom light"
57,"Alexa, turn off bedroom light"
58,"Alexa, set hallway light to 10 percent"
59,"Alexa, brighten hallway light"
60,"Alexa, dim family room"
61,"Alexa, dim kitchen by 60 percent"
62,"Alexa, brighten kitchen light by 80 percent"
63,"Alexa, set the bedroom light to red"
64,"Alexa, change the kitchen to the color blue"
65,"Alexa, Discover Devices"
66,"Alexa, ask Xbox what can I say"
67,"Alexa, bringing top Alexa features to your TV."
68,"Alexa, tell Xbox to launch Forza Horizon 4"
69,"Alexa, tell Xbox to pause"
70,"Alexa, pause music"
71,"Alexa, play music"
72,"Alexa, resume music"
73,"Alexa, skip forward"
74,"Alexa, show camera"
75,"Alexa, discover my devices"
76,"Alexa, ask myLink to raise living room shades"
77,"Alexa, ask myLink to close rolling shutter"
78,"Alexa, tell myLink to open everything"
79,"Alexa, ask myLink to play Privacy scene"
80,"Alexa, tell myLink to update configuration"
81,"Alexa, Click on Amazon"
82,"Alexa, ask myLink to refresh configuration"
83,"Alexa, play some jazz"
84,"Alexa, arm ADT in away mode"
85,"Alexa, arm ADT in stay mode"
86,"Alexa, disarm ADT   Light"
87,"Alexa, turn on the Bedroom light"
88,"Alexa, turn off the Porch Light"
89,"Alexa, dim the Living Room lamp"
90,"Alexa, dim the Living Room light to 25%  "
91,"Alexa, lock the Front Door   "
92,"Alexa, unlock the Kitchen Door  "
93,"Alexa, set Kitchen temperature to 75 degrees   "
94,"Alexa, decrease the bedroom temperature   "
95,"Alexa, enable Arlo skill"
96,"Alexa, turn on front yard light"
97,"Alexa, set backyard light to green"
98,"Alexa, play news"
99,"Alexa, play Star Wars"
100,"Alexa, rewind"
101,"Alexa, Show me crib"
102,"Alexa, Show me Lily"
103,"Alexa, turn on my livingroom light"
104,"Alexa, turn off my livingroom light"
105,"Alexa, dim my livingroom light"
106,"Alexa, brighten my livingroom light"
107,"Alexa, set the livingroom light to 20 percent"
108,"Alexa, set bedroom light to green"
109,"Alexa, set bedroom light to cool white"
110,"Alexa, turn on the smart plug"
111,"Alexa, turn off the smart plug Switch"
112,"Alexa, turn on the switch"
113,"Alexa, turn off the switch Robot cleaner"
114,"Alexa, ask smart work to start vacuuming."
115,"Alexa, tell smart work to give my cat a ride."
116,"Alexa, ask smart work to start cleaning"
117,"Alexa, ask  smart work to abort mission."
118,"Alexa, tell  smart work to stop cleaning."
119,"Alexa, tell  smart work to pause vacuuming."
120,"Alexa, tell  smart work to stop hiding from me."
121,"Alexa, tell  smart work to be quiet."
122,"Alexa, tell  smart work to go home."
