alexa,ifttt
2723,499
1,1587
2,1611
3,1607
3046,1607
3191,1606
3192,311
3193,1096
3194,311
3195,1097
2442,806
2443,806
15,1606
16,1022
18,1022
19,1097
20,1097
2951,499
2908,1096
2970,361
2910,360
2912,1096
2913,1097
2905,1097
2845,369
847,551
848,553
36,1643
37,478
39,551
2442,551
2443,551
45,1096
46,1096
47,1096
2465,360
52,1096
53,463
54,1097
579,1097
2924,361
1815,360
1817,1096
1820,1096
1821,1097
1822,1097
336,361
88,360
89,463
96,361
97,1097
3046,361
3191,360
3114,1097
1928,722
1929,723
2970,361
2971,463
2497,801
1457,1237
249,885
250,878
192,313
193,319
206,878
209,369
214,369
2296,551
223,319
232,1096
234,313
237,801
239,361
249,885
250,878
2971,463
1809,463
1810,1096
3195,1097
3114,1097
3046,361
3191,360
3193,1096
3194,1096
3195,1097
3114,1097
321,870
1883,870
1884,870
1885,870
1886,896
2296,1109
419,1237
424,1554
425,1545
440,1130
441,361
476,358
2975,361
2976,360
2977,463
2292,1096
500,1096
2375,653
2376,652
628,966
629,967
636,551
644,361
645,360
646,1022
648,1039
661,361
662,478
3046,577
3191,575
3193,1096
3194,1096
3195,1097
3114,1097
3046,361
3191,360
775,313
776,319
2924,361
1815,360
2629,463
2631,1096
788,1097
789,1097
790,1097
2082,313
849,830
850,474
1361,790
854,1058
855,1059
856,1058
1807,790
1808,789
1809,463
3195,1097
3114,1097
868,1588
869,1587
870,1587
871,1587
872,1587
1107,463
3046,361
3191,360
3195,1097
3114,1097
919,361
920,360
921,360
933,521
934,652
3046,361
3191,360
3192,1022
3193,725
2462,1059
979,1263
980,361
2462,436
1027,788
1029,788
1047,1642
3046,361
3191,360
1069,1500
1070,1500
2043,551
1093,463
2388,361
3117,1297
3195,1097
3114,1097
3046,361
3191,360
1822,1097
1209,361
1281,1611
2768,1611
1231,1644
2663,1643
2664,1644
2671,1644
2672,1643
1507,830
1508,830
1510,866
1511,865
1531,1643
