alexa,smt
2723,28
3,42
3046,42
3191,62
2442,24
2443,24
15,62
2951,42
2970,42
2910,62
847,24
1449,42
37,4
39,24
2442,24
2443,24
2465,62
2924,42
1815,62
1600,24
336,42
88,62
96,42
3046,42
3191,62
1927,71
1928,54
1929,71
113,54
792,71
2069,54
160,76
163,76
164,76
166,76
167,24
2497,24
2497,24
3180,42
1457,76
248,76
249,76
250,76
192,8
193,79
792,71
206,76
223,79
229,42
3251,62
234,8
237,24
238,24
248,76
250,76
2970,42
3046,42
3191,62
322,19
3046,42
3191,62
2931,42
2455,62
336,42
337,62
1883,82
1884,82
1885,82
1886,82
2296,24
2297,24
413,24
417,24
417,24
422,76
424,83
425,83
440,4
441,42
476,30
478,8
482,8
2975,42
2976,62
2375,76
2376,76
3046,42
3191,62
2963,42
2964,62
2969,76
2296,24
598,42
599,62
603,4
605,8
606,8
609,42
636,24
2296,24
644,42
645,62
2963,42
661,42
3046,42
3191,62
754,24
693,24
694,24
1807,42
1808,62
2924,42
1815,62
2082,8
849,4
850,4
1807,42
1808,62
881,62
933,76
2883,76
2388,42
2647,82
2648,82
2649,82
2650,82
2651,82
2652,82
2653,82
2654,82
2655,82
2656,82
2657,82
2658,82
2659,82
2660,82
2661,82
2662,82
2663,82
2664,82
2665,82
2666,82
2667,82
2668,82
2669,82
2670,82
1422,71
1423,54
1507,4
