graph_id,src,dst
0,43,1547
1,1290,61
2,113,1015
2,1015,267
2,267,1182
3,237,1151
3,1151,36
4,184,1286
4,1286,146
4,146,1177
5,1531,119
6,290,1366
6,1366,90
6,90,1365
7,1992,221
7,221,2223
7,2223,293
8,1024,233
8,233,1366
8,1366,90
9,2177,279
9,279,1262
10,1054,147
11,114,1366
11,1366,90
11,90,1981
12,182,2130
13,274,1424
14,1813,177
15,223,1618
15,1618,143
15,143,1282
16,1146,34
16,34,1711
17,1348,86
17,86,1366
17,1366,90
18,257,1118
18,1118,141
19,233,2130
20,2279,306
20,306,2282
21,77,1177
22,1586,130
23,1077,24
23,24,1166
24,1462,111
25,2253,305
26,2226,296
26,296,1978
27,43,2306
28,231,1372
28,1372,92
29,1375,93
29,93,2018
29,2018,252
30,94,2222
30,2222,292
30,292,1160
31,52,1242
32,1455,108
33,70,1099
33,1099,27
33,27,1372
34,1818,182
34,182,2230
35,100,1376
35,1376,94
35,94,2222
36,212,1545
37,1819,183
37,183,1069
38,1590,134
38,134,1177
39,260,1478
40,1452,107
41,89,1654
41,1654,153
41,153,1647
42,2141,269
43,83,1937
44,1831,188
44,188,1376
44,1376,94
45,2135,265
45,265,1546
46,219,1077
46,1077,24
46,24,1976
47,1440,106
48,275,2227
48,2227,297
48,297,1375
49,2032,230
49,230,1262
50,1337,81
50,81,2184
50,2184,281
51,1006,169
52,213,1992
52,1992,221
52,221,1264
53,2123,258
54,75,1366
54,1366,90
54,90,1365
55,1007,8
56,115,2144
56,2144,272
56,272,1182
57,2131,260
57,260,1547
58,1534,121
59,1973,219
59,219,1539
60,93,2018
60,2018,252
61,118,2230
62,218,1373
63,227,1376
63,1376,94
63,94,1189
64,86,1078
65,1843,192
66,255,1374
67,53,1884
67,1884,200
67,200,2173
68,160,1889
69,223,1241
69,1241,56
69,56,2314
70,237,2130
71,52,1166
72,1326,78
72,78,1654
72,1654,153
73,1816,180
74,278,1228
74,1228,54
74,54,2228
75,43,2306
76,1712,163
76,163,1250
77,2177,279
77,279,1262
78,1151,36
78,36,2050
78,2050,236
79,1626,149
80,1497,115
80,115,2144
80,2144,272
81,2066,241
82,2141,269
83,82,1982
84,116,1425
85,1024,233
85,233,1376
85,1376,94
86,30,1370
87,1596,137
88,297,2007
88,2007,224
88,224,1133
89,270,1015
89,1015,267
89,267,1182
90,2226,296
90,296,1166
91,120,1162
92,1838,190
93,1951,211
93,211,2015
93,2015,226
94,171,1177
95,1552,124
96,1372,92
97,2073,247
98,2212,286
98,286,1077
98,1077,24
99,233,1376
99,1376,94
99,94,1793
100,24,2230
101,1243,57
102,1135,30
102,30,1370
103,1993,222
103,222,2224
103,2224,294
104,1588,132
105,96,1177
106,1288,59
107,64,1293
107,1293,64
108,207,1539
109,1701,161
110,1563,128
111,76,1282
112,286,1218
113,1076,23
113,23,1068
113,1068,21
114,255,1177
115,38,1619
115,1619,144
115,144,2007
116,2228,298
116,298,1160
116,1160,37
117,91,1077
117,1077,24
117,24,2233
118,1893,205
118,205,2015
118,2015,226
119,2068,243
120,1348,86
120,86,1992
120,1992,221
121,1135,30
121,30,1370
122,1918,208
122,208,1286
122,1286,146
123,1339,83
123,83,1937
124,280,1241
124,1241,56
124,56,1160
125,1227,53
125,53,1884
125,1884,200
126,295,1175
127,2177,279
127,279,1992
127,1992,221
128,95,1366
128,1366,90
128,90,1647
129,280,1377
130,1618,143
130,143,1179
130,1179,40
131,2069,244
132,256,2227
132,2227,297
132,297,2314
133,1118,141
134,1600,139
134,139,1177
135,1647,151
135,151,1170
136,301,1996
136,1996,223
136,223,2047
137,2160,275
137,275,1285
138,1440,106
139,1151,36
139,36,2051
140,1289,60
141,1400,99
142,1600,139
142,139,1177
143,1945,209
144,2184,281
144,281,1338
144,1338,213
145,2042,232
146,2184,281
146,281,2216
147,229,2130
148,2144,272
148,272,2285
149,12,1366
149,1366,90
149,90,1612
150,23,1222
150,1222,49
150,49,1179
151,56,1173
152,44,2306
153,1533,120
153,120,1091
153,1091,262
154,248,1539
155,206,1090
155,1090,112
155,112,1499
156,237,1151
156,1151,36
156,36,1313
157,21,1262
158,2025,229
158,229,2130
159,1308,72
160,277,1003
160,1003,77
160,77,1151
161,270,2230
162,1149,282
162,282,2144
162,2144,272
163,2182,280
163,280,1376
163,1376,94
164,1625,148
165,163,1182
166,1394,97
166,97,1077
166,1077,24
167,1292,63
168,1003,5
168,5,1175
169,1394,97
169,97,1177
170,1147,35
171,1348,86
171,86,1177
172,90,1377
173,221,1992
173,1992,221
174,1625,148
175,291,1099
175,1099,290
175,290,1326
176,184,1992
176,1992,221
176,221,1376
177,1618,143
177,143,1620
177,1620,145
178,1459,109
179,2043,234
180,1979,220
180,220,2153
181,1820,184
181,184,1286
181,1286,146
182,1863,194
182,194,1933
183,1227,53
183,53,2130
184,78,1376
184,1376,94
184,94,1793
185,246,1281
186,255,1177
187,1786,173
188,77,1282
189,286,1366
189,1366,90
189,90,1377
190,1893,205
190,205,2021
191,1440,106
192,1681,159
193,102,1372
193,1372,92
194,45,1425
195,1311,75
195,75,1241
195,1241,56
196,1552,124
197,1951,211
197,211,2007
197,2007,224
198,1887,203
199,1118,141
200,67,1241
200,1241,56
200,56,1199
201,2135,265
201,265,1546
202,1951,211
202,211,2047
203,2177,279
203,279,1992
203,1992,221
205,182,2230
206,1992,221
206,221,1372
206,1372,92
207,36,1376
207,1376,94
207,94,1793
208,1400,99
209,1894,206
209,206,2149
209,2149,274
210,221,1978
211,1014,12
211,12,1262
212,5,1231
212,1231,55
212,55,1375
212,1375,93
213,47,1376
213,1376,94
213,94,1189
214,2024,228
214,228,1099
214,1099,290
214,290,1366
215,1076,23
215,23,1222
215,1222,49
215,49,1166
216,2102,254
216,254,1376
216,1376,94
216,94,2222
217,2224,294
217,294,1264
218,279,1992
218,1992,221
218,221,1654
218,1654,153
219,91,1652
219,1652,152
219,152,1360
219,1360,89
220,1821,185
220,185,1376
220,1376,94
220,94,2222
221,1222,49
221,49,1306
221,1306,70
221,70,2232
222,1231,55
222,55,1228
222,1228,54
222,54,1231
223,2015,226
223,226,2219
223,2219,291
223,291,1376
224,2135,265
224,265,1362
225,208,1286
225,1286,146
225,146,1378
226,2016,227
226,227,1376
226,1376,94
226,94,1793
227,1360,89
227,89,2314
228,284,1376
228,1376,94
228,94,1793
228,1793,174
229,1211,45
229,45,1425
230,219,1376
230,1376,94
230,94,1793
230,1793,174
231,2184,281
231,281,1291
231,1291,62
231,62,1076
232,2103,255
232,255,1177
233,2040,231
233,231,1281
234,1299,67
234,67,1242
235,2114,256
235,256,1263
236,1403,100
236,100,1376
236,1376,94
236,94,2222
237,2103,255
237,255,1177
238,1179,40
238,40,1376
