graph_id,src,dst
1,61,41
2,113,0
4,146,44
4,146,44
11,114,0
13,274,9
16,34,49
16,34,49
17,86,76
17,86,76
18,257,23
18,141,69
22,130,76
23,24,44
23,24,44
24,111,20
25,305,85
29,252,44
32,108,20
38,134,76
38,134,76
40,107,20
43,83,60
44,188,44
44,188,44
46,24,44
46,24,44
50,81,21
50,81,21
50,281,23
51,169,8
52,213,71
53,258,54
56,115,0
56,272,44
56,272,44
60,252,44
61,118,23
64,86,76
65,192,20
80,115,0
80,115,0
80,272,44
83,82,11
86,1370,76
87,137,69
89,270,71
92,190,20
95,124,42
98,24,44
100,24,44
101,57,61
102,1370,76
103,222,61
103,222,61
104,132,76
106,59,41
107,64,71
107,64,71
117,24,44
117,24,44
120,86,76
120,86,76
121,1370,76
122,146,44
123,83,60
123,83,60
133,141,69
134,139,69
134,139,69
140,60,19
142,139,69
142,139,69
144,281,23
144,281,23
144,213,71
146,281,23
146,281,23
148,272,44
148,272,44
149,12,63
154,248,23
155,112,0
155,112,0
161,270,71
162,282,71
162,282,71
162,272,44
166,24,44
167,63,7
168,5,61
168,5,61
170,35,82
171,86,76
171,86,76
178,109,20
181,146,44
185,246,71
196,124,42
199,141,69
209,274,9
211,12,63
211,12,63
212,5,61
212,55,61
212,55,61
222,55,61
222,55,61
225,146,44
225,146,44
228,284,54
231,281,23
231,281,23
241,266,83
241,266,83
249,252,44
253,113,0
262,10,79
262,10,79
265,272,44
265,272,44
266,84,9
266,84,9
267,5,61
270,55,61
272,118,23
286,191,20
288,146,44
288,146,44
291,28,45
291,28,45
293,284,54
293,284,54
297,284,54
297,284,54
298,58,19
298,146,44
298,58,19
298,146,44
299,146,44
299,146,44
300,222,61
300,222,61
301,6,47
301,6,47
301,9,0
303,272,44
303,272,44
304,253,6
305,274,9
305,274,9
305,273,44
307,272,44
307,272,44
312,191,20
314,142,69
316,13,23
320,217,54
321,188,44
324,55,61
324,55,61
327,113,0
327,113,0
328,115,0
328,272,44
328,272,44
330,222,61
330,222,61
331,257,23
331,257,23
337,24,44
337,24,44
341,222,61
341,222,61
342,24,44
342,24,44
344,55,61
344,55,61
346,146,44
346,146,44
348,156,24
348,270,71
348,270,71
353,272,44
353,272,44
358,284,54
359,222,61
359,222,61
360,146,44
360,146,44
364,12,63
364,81,21
364,12,63
364,81,21
365,115,0
365,272,44
365,272,44
367,5,61
367,5,61
369,146,44
369,146,44
371,285,71
371,285,71
374,252,44
376,222,61
376,222,61
377,191,20
377,191,20
378,191,20
380,6,47
380,81,21
380,6,47
380,81,21
381,6,47
381,6,47
386,24,44
386,24,44
388,146,44
388,146,44
390,272,44
390,272,44
391,191,20
393,284,54
394,146,44
394,146,44
395,24,44
395,24,44
396,284,54
396,284,54
397,146,44
397,146,44
398,272,44
398,272,44
399,112,0
399,112,0
399,164,54
401,24,44
401,24,44
403,24,44
403,24,44
404,112,0
404,112,0
404,164,54
408,146,44
408,146,44
410,12,63
410,12,63
411,284,54
411,284,54
413,24,44
413,24,44
416,46,24
416,46,24
420,5,61
420,5,61
421,222,61
421,55,61
421,222,61
421,55,61
422,284,54
422,284,54
425,188,44
427,118,23
427,118,23
430,55,61
430,55,61
431,81,21
431,281,23
431,81,21
431,81,21
431,281,23
431,81,21
437,118,23
437,118,23
439,24,44
439,24,44
441,146,44
442,188,44
442,188,44
442,188,44
446,240,71
446,240,71
446,240,71
450,222,61
450,222,61
450,222,61
450,222,61
450,55,61
451,215,71
451,215,71
451,215,71
452,58,19
452,58,19
454,252,44
454,252,44
454,252,44
455,281,23
455,281,23
455,281,23
456,55,61
456,55,61
466,272,44
466,272,44
466,272,44
467,146,44
467,146,44
467,146,44
468,272,44
468,272,44
468,272,44
469,272,44
469,272,44
469,272,44
469,272,44
469,57,61
470,284,54
470,284,54
470,284,54
470,284,54
471,13,23
471,13,23
474,146,44
474,146,44
477,213,71
477,213,71
477,272,44
479,146,44
479,146,44
479,146,44
480,156,24
480,156,24
480,156,24
480,156,24
486,57,61
