graph_id,src,dst
8319,17,11
8319,11,70
8320,17,31
8321,17,38
8322,17,19
8323,17,34
8324,17,44
8325,17,58
8326,17,29
8327,17,0
8328,17,24
8329,17,36
8329,36,6
8329,6,8
8330,29,17
8330,17,36
8330,36,6
8330,6,79
8331,29,17
8331,17,36
8331,36,18
8331,18,48
8332,29,17
8332,17,45
8333,29,17
8333,17,58
8334,29,17
8334,17,71
8335,29,17
8335,17,54
8336,29,17
8336,17,27
8336,27,44
8337,29,17
8337,17,11
8337,11,70
8338,20,6
8338,6,0
8338,0,55
8338,55,4
8338,4,63
8338,63,86
8338,86,44
8339,20,6
8339,6,0
8339,0,55
8339,55,4
8339,4,63
8339,63,86
8339,86,0
8340,20,6
8340,6,0
8340,0,55
8340,55,4
8340,4,63
8340,63,43
8340,43,70
8341,20,6
8341,6,0
8341,0,55
8341,55,4
8341,4,63
8341,63,43
8341,43,28
8341,28,44
8342,20,6
8342,6,0
8342,0,55
8342,55,4
8342,4,63
8342,63,43
8342,43,50
8342,50,44
8343,20,6
8343,6,0
8343,0,55
8343,55,4
8343,4,63
8343,63,43
8343,43,21
8343,21,71
8344,20,6
8344,6,0
8344,0,55
8344,55,4
8344,4,63
8344,63,43
8344,43,21
8344,21,71
8344,71,58
8345,20,6
8345,6,0
8345,0,55
8345,55,4
8345,4,63
8345,63,43
8345,43,21
8345,21,71
8345,71,59
8345,59,84
8345,84,44
8346,20,6
8346,6,0
8346,0,55
8346,55,4
8346,4,63
8346,63,43
8346,43,21
8346,21,71
8346,71,59
8346,59,84
8346,84,52
8347,20,6
8347,6,0
8347,0,55
8347,55,4
8347,4,63
8347,63,43
8347,43,21
8347,21,71
8347,71,59
8347,59,84
8347,84,85
8348,20,6
8348,6,0
8348,0,55
8348,55,4
8348,4,63
8348,63,43
8348,43,21
8348,21,71
8348,71,59
8348,59,84
8348,84,83
8348,83,74
8349,20,6
8349,6,0
8349,0,55
8349,55,4
8349,4,63
8349,63,43
8349,43,21
8349,21,71
8349,71,59
8349,59,84
8349,84,64
8349,64,54
8350,20,6
8350,6,0
8350,0,55
8350,55,4
8350,4,63
8350,63,43
8350,43,21
8350,21,71
8350,71,59
8350,59,84
8350,84,64
8350,64,44
8351,20,6
8351,6,0
8351,0,62
8352,20,6
8352,6,0
8352,0,42
8353,20,6
8353,6,0
8353,0,10
8353,10,73
8353,73,16
8354,20,6
8354,6,0
8354,0,18
8354,18,80
8355,20,6
8355,6,0
8355,0,18
8355,18,68
8356,20,6
8356,6,0
8356,0,18
8356,18,35
8356,35,71
8356,71,51
8356,51,84
8356,84,44
8357,20,6
8357,6,0
8357,0,18
8357,18,35
8357,35,71
8357,71,51
8357,51,84
8357,84,52
8358,20,6
8358,6,0
8358,0,18
8358,18,35
8358,35,71
8358,71,51
8358,51,84
8358,84,85
8359,20,6
8359,6,0
8359,0,18
8359,18,35
8359,35,71
8359,71,51
8359,51,84
8359,84,83
8359,83,74
8360,20,6
8360,6,0
8360,0,18
8360,18,35
8360,35,71
8360,71,51
8360,51,84
8360,84,64
8360,64,44
8361,20,6
8361,6,0
8361,0,18
8361,18,46
8361,46,71
8361,71,51
8361,51,84
8361,84,64
8361,64,54
8362,20,6
8362,6,79
8363,20,6
8363,6,8
8364,20,22
8364,22,18
8364,18,80
8365,20,22
8365,22,18
8365,18,68
8366,20,8
8367,20,77
8367,77,0
8367,0,9
8367,9,72
8367,72,81
8367,81,77
8367,77,68
8368,20,54
8369,20,71
8370,20,56
8371,20,25
8372,20,15
8373,20,58
8374,61,71
8374,71,51
8374,51,84
8374,84,44
8375,61,71
8375,71,51
8375,51,84
8375,84,52
8376,61,71
8376,71,51
8376,51,84
8376,84,85
8377,61,71
8377,71,51
8377,51,84
8377,84,83
8377,83,74
8378,61,71
8378,71,51
8378,51,84
8378,84,64
8378,64,44
8379,61,71
8379,71,51
8379,51,84
8379,84,64
8379,64,54
8380,61,71
8380,71,51
8380,51,84
8380,84,64
8380,64,71
8381,61,54
8382,61,45
8383,61,0
8383,0,62
8384,61,0
8384,0,42
8385,61,0
8385,0,10
8385,10,73
8385,73,7
8386,61,0
8386,0,18
8386,18,80
8387,61,0
8387,0,18
8387,18,68
8388,61,0
8388,0,18
8388,18,35
