id,content
0,Send a notification when there is new weather alert form MeteoAlarmEU.
1,Turn on the humidifier and turn off the AC when humidity is below 30%.
2,Create automations for The Button by Fibaro using the ZWave JS integration.
3,When motion is detected then take a snapshot.
4,Start the vacuum cleaner at 9 am.
5,Renew Certificate when due date is below given value.
6,Automate your LidlLivarnoLux 4Button Remote Switch using ZHA events.
7,Notification to close windows if it is cold outside.
8,Play music when sunset.
9,Create automations for the Inovelli FanSwitch combo
10,Trigger actions with a Shelly Button1 from MQTT.
11,Start the heating when the room is occupied.
12,Create automations for the Inovelli Red Series LZW31SN Dimmer using the ZWaveJS integration.
13,If the temperature drops below 68 degrees fahrenheit, then turn on the heater.
14,Turn on a light when motion is detected with Pyscript.
15,Turn on heating for a given amount of time.
16,Turns a light off after an allotted time.
17,This automation blueprint sends a notification on high energy price.
18,This automation blueprint sends a notification on high energy price.
19,Make an announcement over Amazon Echo devices when the doorbell is pushed.
20,Set a maximum volume for your media player.
21,Sets a Thermostat to a specifc temperature at a certain time everyday.
22,Turn on scene if illuminance will gow under a specific illuminance and if in specific time frame.
23,Control media players with an IKEA five button remote.
24,Notify telegram that Home Assistant has successfully started.
25,Once a device has been in a defined status for a period of time, toggle its status.
26,Turns a switch off after an allotted time.
27,Update device position after it was used or when it was used with the physical connected toggles.
28,When a button is pressed, the defined actions will be executed.
29,Time based volume control of you media devices.
30,Create automations for the Aeotec ZW130 WallMote Quad using the OZW.
31,Tranfer a value from HA to IHC.
32,Keeps only a single light or switch in a group on at a time. If one lightswitch is turned on while another is already on, turn the first one off.
33,Control lights with an IKEA SYMFONISK from the Deconz integration.
34,Turn lights off at defined time.
35,Control anything using MyHome CEN+ commands.
36,Send a mobile app notification when Washing or Drying has finished.
37,Perform actions on light when button is clicked.
38,Control on off switch from IKEA Tradfri.
39,Use this blueprint to create automations based on button presses for.
40,Dim and adjust color temperature of lights progressively throughout the evening.
41,Factory resets IKEA bulbs for repairing with a ZigBee Hub.
42,Create automations for the Inovelli Gen 1 NZW30SN switch using the OZW integration.
43,Runs an internet speed test at a convenient time just once a day.
44,This blueprint will send a Cloud TTS message when a devices battery.
45,Send a notification to a device when a person leaves a specific zone.
46,When a button is pressed, the defined actions will be executed.
47,If a window is opened while its blind is closing, reopen the blind.
48,Create automations for the Inovelli Red Series LZW31SN Dimmer using the OZW integration.
49,Control anything using Xiaomi Aqara WXKG12LM (single button) remote.
50,Control lights with an Ecosmart 4button Zigbee remote.
51,Sets a climate target to a specifc temperature at a set time everyday. The target can be one or multiple areasentitiesdevices.
52,Sends a target temperature from a thermostat to a climate target (radiators) which can be one or multiple areasentitiesdevices.
53,If door opens then send notification.
54,Control anything using Aqara Magic Cube.
55,If motion is detected then turn on porch light.
56,Control anything using Aqara Opple four button remote.
57,If the temperature outside is below 65 degrees fahrenheit, then turn on the heater.
58,Control anything using Aqara Opple six button remote.
59,If the temperature goes above 75 degrees, then turn on the air conditioner.
60,Turn on a switch when motion is detected.
61,If motion is detected then turn on the hallway lights.
62,Control anything using IKEA wireless onoff switch.
63,Control anything using IKEA five button remote.
64,Automation blueprint for many zwave switches with updown button.
65,Create automations for the ZRC90 8 buttons wall remote using the OZW integration.
66,Emulate the behaviour of an Amazon Echo Link Amp by using your existing Amp and an Amazon Echo device connected to your Amp.
67,Freely customizable actions for Lutron Caseta Pico buttons.
68,Control lights with an Jung ZLLA5004M Switch from the deCONZ integration.
69,If it's a weekend, then play relaxing music at 9 am.
70,Control Yeelight 650 by Xiaomi button.
71,Use MQTT to update all connected Shellies to the latest firmware. Please select the day you want the automation to check for new firmware updates.
72,Create automations for any button for zwave js integration.
73,Automate your Tuya TS0043 3 button remote switch.
74,Notify matrix that Home Assistant is shutting down.
75,Notify matrix that Home Assistant has successfully started.
76,If bedroom door opens, then turn on the AC.
77,Use the Philips Hue Dimmer Switch as an Alarm Keypad.
78,Turns a switch off after an allotted time.
79,If the front door opens, then play a chime sound.
80,Sends an update to a selected notifier when an update of an addon is available.
81,Dual Relay BlindsShades control.
82,Raise heater temp when opening window and turn on with delay.
83,Turns On Light when Twitch Stream Begins.
84,Turns on a light when the cabinet is openend, turns it off again onces it is closed.
85,Remap the dimming keys to brightness presets without using scenes.
86,Send a notification when theres an update availiable for Home Assistant.
87,After speaker has been turned off its volume reset to 0.
88,Sends notification of which entity has lost connection.
89,Create automations for the HANK Electronics HKZWSCN04 4 button scene controller using the ZWAVE integration.
90,If charging anything and charging is done the power consumtion will fall under a set level and the switch will turn off so your charging devices stop loading to save battery life.
91,If the front door is unlocked, then send a notification to my phone.
92,After speaker has been turned off for x minutes it will has its volume reset to 10.
93,Turn on a light when motion is detected within a certain time contraint.
94,When a button is pressed, the defined actions will be executed.
95,Automations helper for the Zooz ZEN30 Double Switch.
96,Switch to dark theme when the sun goes down.
97,Cycle through a list of 8 different scenes using an input_number.
98,Cycling through these values can be done using a slider or assigning increase, decrease and set services of this input_number to a button.
99,Trigger actions from button presses.
100,Automate your Xiaomi Aqara Wireless Mini Remote Switch using ZHA events.
101,Create automatisation for the ZDB5100 using zwavejs integration.
102,Renew Certificate when due date is below given value.
103,Aqara Opple switch 3 bands.
104,Automate your LeTV 8 button remote of FreePad firmware.
105,Automate your Xiaomi Aqara Wireless Mini Switch using ZHA events.
