id,content
0,"If the temperature in the bedroom drops below 68 degrees Fahrenheit, then switch on the bedroom heater."
1,"If the front door is unlocked and the current time is after sunset, then turn on the porch light."
2,"If the front door is unlocked and the current time is after midnight and before 6:00 AM, then turn on the bedroom lamp and restore the thermostat to its normal temperature setting."
3,"If someone opens the front door, then turn on the front door hue bulb and set it to the color blue."
4,"If the temperature in the bedroom is higher than 75°F and no one is currently in the room, then turn on the bedroom fan."
5,"If the water sensor detects wetness in the laundry room and the washing machine is running, then send a notification to the homeowner and turn off the washing machine using the Water Wet Handler."
6,"If the front door is closed and locked and the sun sets, then turn on the porch light."
7,"If there has been no motion detected in the bedroom for 10 minutes and the current time is after 10 pm, then turn off the bedroom lights."
8,"If the front door is closed and it is after 10 pm, then lock the front door."
9,"If the temperature in the bedroom is below 68 degrees Fahrenheit, then turn on the bedroom heater."
10,camera on
11,"If the front door is unlocked and motion is active on the front porch motion sensor, then turn on the entryway light."
12,"If the water sensor detects water in the basement and the current time is between 7 AM to 9 PM, then notify me immediately through a smartphone notification."
13,"If the basement water sensor detects water and the sump pump is not already on, then turn on the sump pump to remove the water."
14,"If it is 6:00 AM on a weekday and the bedroom is occupied, then set the bedroom lamp level to 50%."
15,"If the front door is unlocked and the time is between 9:00AM and 5:00PM, then play the ""Work Mix"" playlist on the living room Sonos music player."
16,"If there is no motion detected by the bedroom motion sensor for 10 minutes and the current time is after 11:00 PM, then turn off the bedroom TV."
17,"If the front door opens and the presence sensor is not detected, then turn on the hallway lights."
18,"If the illuminance level in the bedroom is below a certain threshold and it is after sunset, then turn on the bedroom lights."
19,"If the power consumption of the washing machine is greater than 10 watts for more than 5 minutes, then turn on the smart outlet that controls the dryer."
20,"If the button is pressed and the current time is between 9 AM and 5 PM, then turn on the office lights."
21,"If the motion sensor in the laundry room stays inactive for more than 10 minutes and the washing machine is not in use, then send a notification to remind the user to move the laundry to the dryer."
22,"If the illuminance level in the bedroom is below 30 lux and motion is detected, then turn on the bedroom light."
23,"If a water leak is detected by the water leak sensor and the valve is open, then close the valve to stop the water flow."
24,"If a door is unlocked and opened, then turn on the front door camera."
25,"If the front door has been unlocked and opened, and the user enters the correct security code on the keypad, then turn off the security alarm."
26,"If the temperature in the bedroom is above 75 degrees Fahrenheit and the humidity is above 50%, then turn on the bedroom fan and the bedroom air purifier outlets."
27,"If the front door is unlocked and the presence sensor has detected that no one is at home, then send a notification to the homeowner's smartphone requesting confirmation to lock the front door. If no confirmation is received within 2 minutes, then automatically lock the front door. This is an example of a presence handler rule that can ensure that the front door is always locked when nobody is at home."
28,"If the SmartThings presence sensor detects that someone has entered the bedroom and the time is between 6:00 AM and 10:00 PM, then set the bedroom lights to the ""active"" scene."
29,"If no one is detected in the home and the time is after 8:00 AM, then set the thermostat to an energy-saving temperature."
30,"If the front door is closed and it is between the hours of 10:00 PM and 6:00 AM, then lock the front door."
31,"If the back door contact sensor is opened, then trigger the alarm and send a notification to my phone."
32,"If both my mobile phone and my partner's mobile phone are not present at home, then set the thermostat to an energy-saving temperature."
33,"If the current time is 7:00 a.m. and the user's smartphone is detected as being within a certain distance from the home, then turn on the coffee maker."
34,"If the front door is unlocked and motion is detected on the front porch, then capture an image using the front door camera and send it to the homeowner's phone."
35,"If the front door contact sensor is opened and the mode is set to ""away,"" then send a notification to the homeowner's mobile phone."
36,"If everyone leaves the house and the location mode is set to 'Away', then turn off all lights and lock the front door."
37,"If the smoke sensor detects smoke, then turn on all the lights in the house and send an alert to the homeowner's phone."
38,"If there is no motion detected by the bedroom motion sensor for 30 minutes and the current time is before 11 PM, then turn off the bedroom outlet."
39,"If the acceleration active handler is triggered for the front door sensor and the mode is set to away, then send a notification and turn on all lights to deter potential intruders."
40,"If a water leak is detected by the water sensor in the laundry room, then send a notification to the homeowner's smartphone and turn off the main water valve to prevent any further damage."
41,"If there is no motion detected in the bedroom for 30 minutes and the current time is after 11:00 PM, then turn off the bedroom outlets."
42,"If the front door is unlocked and the current time is between sunset and sunrise, then turn on the porch light."
43,"If motion is detected by the front door motion sensor and the door lock is unlocked, then turn on the porch light for 5 minutes."
44,"If the front door is unlocked and the current time is between 10PM and 6AM, then send an SMS message to the homeowner."
45,"If the front door is unlocked and the current location mode is ""Away,"" then send a notification to the homeowner's phone."
46,"If the front door contact sensor is opened, then send a notification to the homeowner's smartphone with a message."
47,"If the temperature in the bedroom drops below 65 degrees Fahrenheit and the time is between 10 pm and 6 am, then turn on the bedroom heater."
48,"If any window is opened and the temperature in the room exceeds 72°F, then turn on the air conditioner."
49,"If the temperature in the bedroom rises above 75 degrees Fahrenheit, then turn on the bedroom ceiling fan."
50,"If motion is detected by the bathroom motion sensor and the bathroom fan switch is off, then turn on the fan for 10 minutes and mark the bathroom as ""active"" in the SmartThings app."
51,"If the humidity in the bathroom is higher than 60 percent, then turn on the bathroom exhaust fan."
52,"If the humidity level in the bathroom exceeds 75% for more than 5 minutes, then turn on the bathroom exhaust fan to remove excess moisture."
53,"If the relative humidity measurement in the bathroom exceeds 70% for more than 10 minutes, then turn on the bathroom exhaust fan."
54,"If no motion is detected by the bedroom motion sensor for 10 minutes and the current time is after 10 pm, then turn off all lights in the bedroom."
55,"If the front door is unlocked and the time is after 8 pm, then send a push notification to the homeowner to remind them to lock the door and handle Things before going to bed."
56,"If the front door is unlocked for more than 5 minutes, then send an SMS to the homeowner alerting them of the issue."
57,"If the temperature in the bedroom is above 75 degrees Fahrenheit and the current mode is ""home"", then turn on the bedroom ceiling fan."
58,"If the temperature in the living room is higher than 75 degrees Fahrenheit, then lower the thermostat by 2 degrees Fahrenheit."
59,"If the humidity in the bathroom is greater than 70%, then turn on the bathroom exhaust fan."
60,"If the temperature sensor in the kitchen reads above 72 degrees Fahrenheit, then turn on the kitchen exhaust fan to vent out hot air."
61,"If the 'Good Night' app touch is executed, then turn off all the lights, close the blinds, and set the thermostat to a specific temperature."
62,"If there has been no motion detected in the bedroom for 10 minutes and the current time is after 10 PM, then turn off the bedroom lights."
63,"If motion is detected by the front door sensor and it is after sunset, then turn on the porch light for 5 minutes."
64,"If the humidity level in the bathroom reaches 70% or higher, then turn on the bathroom exhaust fan to reduce humidity."
65,"If the touch sensor is triggered and it's after 8 pm, then turn on the nightstand lamp."
66,"If the humidity level in the bathroom is higher than 60% for more than 5 minutes, then turn on the bathroom exhaust fan to reduce humidity and prevent mold and mildew growth."
67,"If the relative humidity measurement in the bathroom is greater than 70%, then turn on the bathroom exhaust fan."
68,"If any window or door sensor is opened while the thermostat is on, then turn off the thermostat to save energy."
69,"If the water sensor detects water in the laundry room, then shut off the main water valve to prevent further water damage."
70,"If the front door is opened while the alarm is set to away mode, then set off the siren and send a notification to the homeowner's phone."
71,"If the back door is opened and it's between sunset and sunrise, then switch on the back porch light."
72,"If smoke is detected by the Smoke Detector, then turn on all lights in the house, send a mobile notification to the homeowner, and trigger an alarm siren."
73,"If there is no motion detected for 10 minutes in the bedroom and the bedroom lamp is currently on, then turn off the bedroom lamp."
74,"If the kitchen motion sensor detects motion and it is between 6:00 am and 9:00 am, then turn on the smart coffee maker to start brewing the coffee."
75,"If the front door acceleration sensor detects movement and the security mode is set to away, then send a notification to the homeowner's smartphone."
76,"If the temperature in the living room is above 75 degrees Fahrenheit, and the air conditioning is not already turned on, then turn on the air conditioner in 'cold' mode until the temperature reaches 72 degrees Fahrenheit."
77,"If the last person leaves home and the location Mode is set to 'Away', then activate the 'Away' mode for the SmartThings Hub."
78,"If the water leak sensor detects moisture, then turn off the main water supply valve to prevent flooding."
