graph_id,src,dst
0,17,11
0,11,70
1,17,31
2,17,38
3,17,19
4,17,34
5,17,44
6,17,58
7,17,29
8,17,0
9,17,24
10,17,36
10,36,6
10,6,8
11,29,17
11,17,36
11,36,6
11,6,79
12,29,17
12,17,36
12,36,18
12,18,48
13,29,17
13,17,45
14,29,17
14,17,58
15,29,17
15,17,71
16,29,17
16,17,54
17,29,17
17,17,27
17,27,44
18,29,17
18,17,11
18,11,70
19,20,6
19,6,0
19,0,55
19,55,4
19,4,63
19,63,86
19,86,44
20,20,6
20,6,0
20,0,55
20,55,4
20,4,63
20,63,86
20,86,0
21,20,6
21,6,0
21,0,55
21,55,4
21,4,63
21,63,43
21,43,70
22,20,6
22,6,0
22,0,55
22,55,4
22,4,63
22,63,43
22,43,28
22,28,44
23,20,6
23,6,0
23,0,55
23,55,4
23,4,63
23,63,43
23,43,50
23,50,44
24,20,6
24,6,0
24,0,55
24,55,4
24,4,63
24,63,43
24,43,21
24,21,71
25,20,6
25,6,0
25,0,55
25,55,4
25,4,63
25,63,43
25,43,21
25,21,71
25,71,58
26,20,6
26,6,0
26,0,55
26,55,4
26,4,63
26,63,43
26,43,21
26,21,71
26,71,59
26,59,84
26,84,44
27,20,6
27,6,0
27,0,55
27,55,4
27,4,63
27,63,43
27,43,21
27,21,71
27,71,59
27,59,84
27,84,52
28,20,6
28,6,0
28,0,55
28,55,4
28,4,63
28,63,43
28,43,21
28,21,71
28,71,59
28,59,84
28,84,85
29,20,6
29,6,0
29,0,55
29,55,4
29,4,63
29,63,43
29,43,21
29,21,71
29,71,59
29,59,84
29,84,83
29,83,74
30,20,6
30,6,0
30,0,55
30,55,4
30,4,63
30,63,43
30,43,21
30,21,71
30,71,59
30,59,84
30,84,64
30,64,54
31,20,6
31,6,0
31,0,55
31,55,4
31,4,63
31,63,43
31,43,21
31,21,71
31,71,59
31,59,84
31,84,64
31,64,44
32,20,6
32,6,0
32,0,62
33,20,6
33,6,0
33,0,42
34,20,6
34,6,0
34,0,10
34,10,73
34,73,16
35,20,6
35,6,0
35,0,18
35,18,80
36,20,6
36,6,0
36,0,18
36,18,68
37,20,6
37,6,0
37,0,18
37,18,35
37,35,71
37,71,51
37,51,84
37,84,44
38,20,6
38,6,0
38,0,18
38,18,35
38,35,71
38,71,51
38,51,84
38,84,52
39,20,6
39,6,0
39,0,18
39,18,35
39,35,71
39,71,51
39,51,84
39,84,85
40,20,6
40,6,0
40,0,18
40,18,35
40,35,71
40,71,51
40,51,84
40,84,83
40,83,74
41,20,6
41,6,0
41,0,18
41,18,35
41,35,71
41,71,51
41,51,84
41,84,64
41,64,44
42,20,6
42,6,0
42,0,18
42,18,46
42,46,71
42,71,51
42,51,84
42,84,64
42,64,54
43,20,6
43,6,79
44,20,6
44,6,8
45,20,22
45,22,18
45,18,80
46,20,22
46,22,18
46,18,68
47,20,8
48,20,77
48,77,0
48,0,9
48,9,72
48,72,81
48,81,77
48,77,68
49,20,54
50,20,71
51,20,56
52,20,25
53,20,15
54,20,58
55,61,71
55,71,51
55,51,84
55,84,44
56,61,71
56,71,51
56,51,84
56,84,52
57,61,71
57,71,51
57,51,84
57,84,85
58,61,71
58,71,51
58,51,84
58,84,83
58,83,74
59,61,71
59,71,51
59,51,84
59,84,64
59,64,44
60,61,71
60,71,51
60,51,84
60,84,64
60,64,54
61,61,71
61,71,51
61,51,84
61,84,64
61,64,71
62,61,54
63,61,45
64,61,0
64,0,62
65,61,0
65,0,42
66,61,0
66,0,10
66,10,73
66,73,7
67,61,0
67,0,18
67,18,80
68,61,0
68,0,18
68,18,68
69,61,0
69,0,18
69,18,35
69,35,71
69,71,51
69,51,84
69,84,44
70,61,0
70,0,18
70,18,35
70,35,71
70,71,51
70,51,84
70,84,52
71,61,0
71,0,18
71,18,35
71,35,71
71,71,51
71,51,84
71,84,85
72,61,0
72,0,18
72,18,35
72,35,71
72,71,51
72,51,84
72,84,83
72,83,74
73,61,0
73,0,18
73,18,35
73,35,71
73,71,51
73,51,84
73,84,64
73,64,44
74,61,0
74,0,18
74,18,35
74,35,71
74,71,51
74,51,84
74,84,64
74,64,54
75,61,0
75,0,18
75,18,35
75,35,71
75,71,51
75,51,84
75,84,64
75,64,71
76,1,0
76,0,10
76,10,73
76,73,7
77,1,0
77,0,18
77,18,80
78,1,0
78,0,18
78,18,68
79,1,0
79,0,18
79,18,35
79,35,71
79,71,51
79,51,84
79,84,44
80,1,0
80,0,18
80,18,35
80,35,71
80,71,51
80,51,84
80,84,52
81,1,0
81,0,18
81,18,35
81,35,71
81,71,51
81,51,84
81,84,85
82,1,0
82,0,18
82,18,35
82,35,71
82,71,51
82,51,84
82,84,83
82,83,74
83,29,32
83,32,0
83,0,62
84,29,32
84,32,0
84,0,42
85,29,32
85,32,6
85,6,79
86,29,32
86,32,6
86,6,8
87,1,0
87,0,62
88,1,0
88,0,42
89,65,0
89,0,62
90,65,0
90,0,42
91,65,6
91,6,0
91,0,62
92,65,6
92,6,0
92,0,42
93,65,6
93,6,79
94,65,6
94,6,8
95,65,6
95,6,1
95,1,58
96,65,58
96,58,49
96,49,0
96,0,68
97,57,49
97,49,76
98,57,49
98,49,80
99,57,49
99,49,48
100,57,49
100,49,44
101,57,49
101,49,4
101,4,63
101,63,1
101,1,2
101,2,58
102,57,49
102,49,4
102,4,63
102,63,86
102,86,44
103,57,49
103,49,4
103,4,63
103,63,86
103,86,0
104,57,49
104,49,4
104,4,63
104,63,75
104,75,44
105,57,49
105,49,4
105,4,63
105,63,75
105,75,39
105,39,71
105,71,59
105,59,84
105,84,44
106,57,49
106,49,4
106,4,63
106,63,75
106,75,39
106,39,71
106,71,59
106,59,84
106,84,52
107,57,49
107,49,4
107,4,63
107,63,75
107,75,39
107,39,71
107,71,59
107,59,84
107,84,85
108,57,49
108,49,4
108,4,63
108,63,75
108,75,39
108,39,71
108,71,59
108,59,84
108,84,83
108,83,74
109,57,49
109,49,4
109,4,63
109,63,75
109,75,39
109,39,71
109,71,59
109,59,84
109,84,66
109,66,64
109,64,54
110,57,49
110,49,4
110,4,63
110,63,75
110,75,39
110,39,71
110,71,59
110,59,84
110,84,64
110,64,64
110,64,71
111,57,49
111,49,4
111,4,63
111,63,75
111,75,39
111,39,71
111,71,59
111,59,84
111,84,64
111,64,44
112,57,49
112,49,4
112,4,63
112,63,43
112,43,70
113,57,49
113,49,4
113,4,63
113,63,43
113,43,50
113,50,44
114,57,49
114,49,4
114,4,63
114,63,43
114,43,21
114,21,71
115,57,49
115,49,4
115,4,63
115,63,43
115,43,21
115,21,71
115,71,58
116,57,49
116,49,4
116,4,63
116,63,43
116,43,21
116,21,71
116,71,59
116,59,84
116,84,44
117,57,49
117,49,4
117,4,63
117,63,43
117,43,21
117,21,71
117,71,59
117,59,84
117,84,52
118,57,49
118,49,4
118,4,63
118,63,43
118,43,21
118,21,71
118,71,59
118,59,84
118,84,85
119,57,49
119,49,4
119,4,63
119,63,43
119,43,21
119,21,71
119,71,59
119,59,84
119,84,83
119,83,74
120,57,49
120,49,4
120,4,63
120,63,43
120,43,21
120,21,71
120,71,59
120,59,84
120,84,64
120,64,64
120,64,54
121,57,49
121,49,4
121,4,63
121,63,43
121,43,21
121,21,71
121,71,59
121,59,84
121,84,64
121,64,64
121,64,71
122,57,49
122,49,4
122,4,63
122,63,43
122,43,21
122,21,71
122,71,59
122,59,84
122,84,64
122,64,44
123,57,49
123,49,4
123,4,63
123,63,43
123,43,28
123,28,44
124,57,49
124,49,4
124,4,63
124,63,1
124,1,2
124,2,58
125,57,49
125,49,60
126,57,49
126,49,70
127,57,49
127,49,22
128,57,70
128,70,43
128,43,77
128,77,79
129,57,3
130,57,47
130,47,72
130,72,81
130,81,79
130,79,44
131,57,47
131,47,72
131,72,37
131,37,79
131,79,44
132,57,47
132,47,72
132,72,43
132,43,70
133,57,47
133,47,72
133,72,43
133,43,41
134,57,47
134,47,72
134,72,43
134,43,26
135,57,47
135,47,72
135,72,43
135,43,28
135,28,44
136,57,47
136,47,44
137,57,47
137,47,82
137,82,71
137,71,59
137,59,67
137,67,85
138,57,47
138,47,82
138,82,71
138,71,59
138,59,67
138,67,52
139,57,47
139,47,82
139,82,71
139,71,59
139,59,67
139,67,33
139,33,74
140,57,47
140,47,82
140,82,71
140,71,59
140,59,53
140,53,64
140,64,54
141,57,47
141,47,82
141,82,71
141,71,59
141,59,67
141,67,64
141,64,30
142,57,47
142,47,82
142,82,71
142,71,58
143,12,40
144,12,69
144,69,13
144,13,40
145,12,78
145,78,5
145,5,44
146,12,44
147,12,23
148,12,70
149,17,35
149,35,71
149,71,51
149,51,84
149,84,44
150,17,35
150,35,71
150,71,51
150,51,84
150,84,52
151,17,35
151,35,71
151,71,51
151,51,84
151,84,85
152,17,35
152,35,71
152,71,51
152,51,84
152,84,83
152,83,74
153,17,35
153,35,71
153,71,51
153,51,84
153,84,64
153,64,44
154,17,35
154,35,71
154,71,51
154,51,84
154,84,64
154,64,54
155,17,35
155,35,71
155,71,51
155,51,84
155,84,64
155,64,71
156,14,22
156,22,18
156,18,80
157,14,22
157,22,18
157,18,68
158,14,22
158,22,18
158,18,35
158,35,71
158,71,51
158,51,84
158,84,44
159,14,22
159,22,18
159,18,35
159,35,71
159,71,51
159,51,84
159,84,52
160,14,22
160,22,18
160,18,35
160,35,71
160,71,51
160,51,84
160,84,85
161,14,22
161,22,18
161,18,35
161,35,71
161,71,51
161,51,84
161,84,83
161,83,74
162,14,22
162,22,18
162,18,35
162,35,71
162,71,51
162,51,84
162,84,64
162,64,44
163,14,22
163,22,18
163,18,35
163,35,71
163,71,51
163,51,84
163,84,64
163,64,54
164,14,22
164,22,18
164,18,35
164,35,71
164,71,51
164,51,84
